book_author,rating_count
Stephen King,9075
Nora Roberts,7736
John Grisham,5469
James Patterson,5295
Mary Higgins Clark,4409
Dean R. Koontz,3948
Tom Clancy,3591
Danielle Steel,3421
Sue Grafton,3151
Janet Evanovich,3107
Anne Rice,2704
Michael Crichton,2659
J. K. Rowling,2599
V.C. Andrews,2569
JOHN GRISHAM,2539
Sandra Brown,2429
Nicholas Sparks,2388
R. L. Stine,2343
Rich Shapero,2263
Anita Shreve,2240
Patricia Daniels Cornwell,2206
Agatha Christie,2080
Maeve Binchy,2054
Dan Brown,2037
Barbara Kingsolver,2032
Catherine Coulter,2014
Robin Cook,1897
Robert Ludlum,1880
Lilian Jackson Braun,1849
Ann M. Martin,1845
Jude Deveraux,1838
John Sandford,1772
Anne McCaffrey,1712
Jack Canfield,1700
Ken Follett,1692
Jonathan Kellerman,1640
Rebecca Wells,1638
Amy Tan,1635
Alice Sebold,1628
William Shakespeare,1608
John Irving,1607
Piers Anthony,1552
Margaret Atwood,1472
Sidney Sheldon,1426
Terry Pratchett,1418
Jane Austen,1410
Clive Cussler,1377
Barbara Delinsky,1374
Neil Gaiman,1364
Wally Lamb,1355
Helen Fielding,1331
Orson Scott Card,1326
Douglas Adams,1319
David Baldacci,1318
Dick Francis,1294
Johanna Lindsey,1288
Alice Hoffman,1260
John Saul,1258
Fern Michaels,1252
MICHAEL CRICHTON,1238
Judy Blume,1238
DANIELLE STEEL,1234
TAMI HOAG,1224
Francine Pascal,1214
Tony Hillerman,1195
Michael Connelly,1192
Debbie Macomber,1175
Thomas Harris,1171
Isabel Allende,1169
Patricia Cornwell,1152
Faye Kellerman,1151
Frank McCourt,1138
Robert B. Parker,1125
Roald Dahl,1106
Nick Hornby,1104
Stuart Woods,1095
Anne Tyler,1080
John Steinbeck,1075
Lawrence Sanders,1071
Charles Dickens,1057
Nicholas Evans,1039
Jayne Ann Krentz,1025
Ann Rule,1013
Julie Garwood,1010
C. S. Lewis,1005
Carolyn Keene,986
Rosamunde Pilcher,976
Linda Howard,955
Anne Perry,954
DEAN KOONTZ,952
Tracy Chevalier,951
Marion Zimmer Bradley,951
Jennifer Crusie,949
Tim Lahaye,949
James A. Michener,932
Scott Turow,931
Toni Morrison,915
Iris Johansen,914
J.R.R. TOLKIEN,911
Carl Hiaasen,910
Elizabeth Berg,910
J. R. R. Tolkien,905
Jeffery Deaver,901
Robert James Waller,899
Bill Bryson,899
Isaac Asimov,885
David Sedaris,876
Mercedes Lackey,863
Laurell K. Hamilton,860
Alexander McCall Smith,844
Nelson DeMille,838
Elmore Leonard,838
Diana Palmer,833
J.A. Jance,833
Alice Walker,830
Mark Twain,821
Anita Diamant,819
Elizabeth Peters,812
Larry McMurtry,812
Diane Mott Davidson,812
Kathy Reichs,810
ANNE RICE,805
Barbara Taylor Bradford,799
J. D. Robb,785
Richard North Patterson,782
Elizabeth Lowell,782
Belva Plain,780
Annie Proulx,770
Jane Hamilton,770
Emma McLaughlin,762
Martha Grimes,762
Beverly Cleary,761
Christopher Pike,757
Dave Barry,756
Anne Rivers Siddons,755
Joanne Harris,751
Billie Letts,750
Marian Keyes,749
Jack Higgins,747
David Guterson,740
Judith McNaught,735
Gabriel Garcia Marquez,727
Lemony Snicket,716
Jan Karon,715
Sue Monk Kidd,711
Fannie Flagg,709
Frank Herbert,708
Jeffrey Archer,705
Terry Brooks,702
Kurt Vonnegut,701
Margaret Weis,698
Linda Lael Miller,694
Janet Fitch,688
LaVyrle Spencer,687
Nevada Barr,685
Joyce Carol Oates,678
Andrew M. Greeley,677
Gregory Maguire,674
Lisa Scottoline,672
Umberto Eco,671
W. E. B. Griffin,661
Janet Dailey,652
Jennifer Weiner,646
Ernest Hemingway,645
Elizabeth George,644
Robert Jordan,641
Sharyn McCrumb,635
ANNA QUINDLEN,634
Robert A. Heinlein,633
Luanne Rice,631
Yann Martel,630
Sue Miller,624
Christopher Moore,622
George Orwell,620
R.L. Stine,615
Olivia Goldsmith,612
Larry Niven,608
PHILIP PULLMAN,606
Arthur C. Clarke,605
Margaret Truman,601
Caleb Carr,600
Sara Paretsky,598
Jacquelyn Mitchard,596
Minette Walters,595
Madeleine L'Engle,595
Michael Moore,594
David Eddings,591
DIANA GABALDON,585
Peter David,582
Richard Bach,581
Greg Iles,578
Dennis Lehane,577
Colleen McCullough,577
Terry McMillan,576
Joy Fielding,572
Kaye Gibbons,572
Heather Graham,570
IRIS JOHANSEN,569
Paulo Coelho,567
Garrison Keillor,562
Michael Palmer,556
Scott Adams,552
Ann Patchett,546
Karen Robards,546
Michael Cunningham,545
Virginia Woolf,545
Bernhard Schlink,544
Andre Dubus III,543
Gary Larson,543
Clive Barker,542
Kay Hooper,541
James Herriot,540
Erma Bombeck,539
Jean M. Auel,537
Stephen Coonts,537
LISA GARDNER,535
Melissa Bank,534
Lawrence Block,528
Jackie Collins,523
Pat Conroy,523
J.D. Salinger,521
Bill Watterson,520
ANNE TYLER,520
Ursula Hegi,520
Charlotte Bronte,516
JEAN M. AUEL,516
Rita Mae Brown,516
Ray Bradbury,514
Jack London,512
Jodi Picoult,512
JONATHAN KELLERMAN,511
Amanda Quick,509
K. A. Applegate,507
JON KRAKAUER,505
Mitch Albom,505
Barbara Michaels,505
