age_range,book_author,rating_count
18-25,Stephen King,1244
18-25,Nora Roberts,633
18-25,Anne Rice,485
18-25,John Grisham,475
18-25,J. K. Rowling,451
18-25,V.C. Andrews,441
18-25,Rich Shapero,422
18-25,William Shakespeare,388
18-25,Mary Higgins Clark,365
18-25,Dean R. Koontz,340
18-25,James Patterson,325
18-25,Nicholas Sparks,299
18-25,Michael Crichton,283
18-25,Jane Austen,274
18-25,Tom Clancy,274
18-25,Terry Pratchett,269
18-25,Anne McCaffrey,265
18-25,Neil Gaiman,257
18-25,Piers Anthony,246
18-25,R. L. Stine,242
18-25,Danielle Steel,232
18-25,Douglas Adams,231
18-25,JOHN GRISHAM,226
18-25,Agatha Christie,217
18-25,Ann M. Martin,196
18-25,Dan Brown,195
18-25,Charles Dickens,194
18-25,Jack Canfield,192
18-25,Christopher Pike,186
18-25,Roald Dahl,184
18-25,Janet Evanovich,180
18-25,Margaret Atwood,179
18-25,Orson Scott Card,176
18-25,Alice Sebold,176
18-25,Amy Tan,176
18-25,Helen Fielding,174
18-25,Robin Cook,173
18-25,Mercedes Lackey,172
18-25,George Orwell,168
18-25,Barbara Kingsolver,164
18-25,Nick Hornby,164
18-25,Thomas Harris,164
18-25,J. R. R. Tolkien,162
18-25,Sue Grafton,158
18-25,Wally Lamb,156
18-25,Laurell K. Hamilton,150
18-25,John Irving,147
18-25,MICHAEL CRICHTON,147
18-25,Francine Pascal,146
18-25,Rebecca Wells,145
18-25,J.R.R. TOLKIEN,144
18-25,Jude Deveraux,143
18-25,Catherine Coulter,141
18-25,John Steinbeck,141
18-25,Judy Blume,140
18-25,Patricia Daniels Cornwell,139
18-25,Anita Shreve,137
18-25,Maeve Binchy,136
18-25,Jayne Ann Krentz,134
18-25,Margaret Weis,132
18-25,Marion Zimmer Bradley,130
18-25,John Saul,129
18-25,David Sedaris,126
18-25,Isabel Allende,124
18-25,Johanna Lindsey,124
18-25,R.L. Stine,123
18-25,Ken Follett,122
18-25,Kurt Vonnegut,119
18-25,J.D. Salinger,119
18-25,Julie Garwood,119
18-25,Lilian Jackson Braun,119
18-25,Frank McCourt,118
18-25,Frank Herbert,118
18-25,Mark Twain,116
18-25,C. S. Lewis,115
18-25,ANNE RICE,115
18-25,Robert Jordan,114
18-25,Oscar Wilde,114
